sheet_name,scale,description,la,lo,date,timestamp
Житлові будинки,,В смт Березнегувате внаслідок ракетного обстрілу пошкоджено вісім житлових будинків. ,47.307953,32.846669,2022-7-20,1658275200000
Житлові будинки,,Під ворожий обстріл потрапили житлові будинки в с. Калуга.,47.364476,32.94025,2022-7-20,1658275200000
Житлові будинки,,Під ворожий обстріл потрапили житлові будинки в с. Висунськ. ,47.261436,32.821056,2022-7-20,1658275200000
Житлові будинки,,Через обстріли с. Лимани зруйновано житлові будинки.,46.72796,31.97235,2022-7-20,1658275200000
Житлові будинки,,В с. Широке боєприпас влучив в житловий будинок.,47.098634,32.674144,2022-7-21,1658361600000
Житлові будинки,,Після обстрілів у с. Галицинове відбулося займання житлового будинку. ,46.780528,31.952911,2022-7-22,1658448000000
Житлові будинки,,"Через ракетний обстріл ракетами ""Калібр"" у Миколаєві повністю зруйновано декілька садиб, пошкоджено приватні та багатоповерхові будинки.",46.959077,32.011811,2022-7-23,1658534400000
Житлові будинки,,Через обстріли с. Лимани відбулося загоряння житлових будинків.,46.72796,31.97235,2022-7-23,1658534400000
Житлові будинки,,"Через обстріл с. Мішково-Погорілове зруйновані та пошкоджені будинки, виникла пожежа двоповерхового житлового будинку.",46.995222,32.112717,2022-7-25,1658707200000
Житлові будинки,,Через обстріли с. Маліївка зруйновано один житловий будинок. ,47.483595,32.73034,2022-7-25,1658707200000
Житлові будинки,,Внаслідок ворожих обстрілів в с. Шевченкове частково зруйновано житловий будинок. ,46.86215,32.196443,2022-7-26,1658793600000
Житлові будинки,,В селищі Весняне пошкоджено біля восьми приватних житлових будинків.,46.97526,31.892919,2022-7-26,1658793600000
Житлові будинки,,В с. Лепетиха пошкоджені житлові будинки.,47.331542,33.048818,2022-7-26,1658793600000
Житлові будинки,,В с. Кавказ пошкоджені житлові будинки.,47.286823,33.071037,2022-7-26,1658793600000
Житлові будинки,,Внаслідок ворожих обстрілів с. Лимани зруйновано та пошкоджено три житлових будинки.,46.72796,31.97235,2022-7-27,1658880000000
Житлові будинки,,В с. Широке пошкоджено три житлових будинки.,47.098634,32.674144,2022-7-27,1658880000000
Житлові будинки,,У Миколаєві зруйновано три приватних будинка.,46.959077,32.011812,2022-7-28,1658966400000
Житлові будинки,,У Миколаєві через обстріл багатоповерхівки зазнали значних ушкоджень,46.959077,32.011812,2022-7-30,1659139200000
Житлові будинки,,Внаслідок масованих обстрілів Миколаєва пошкоджено житлові будинки. Також зайнялась двоповерхова будівля,46.959077,32.011812,2022-7-31,1659225600000
Житлові будинки,,У селі Лупареве загорівся дачний будинок,46.696826,31.979453,2022-7-30,1659139200000
